query_id,column_id
q001,demo-ecommerce.demo_ecommerce.customers.customer_id
q001,demo-ecommerce.demo_ecommerce.customers.customer_name
q001,demo-ecommerce.demo_ecommerce.orders.customer_id
q001,demo-ecommerce.demo_ecommerce.orders.total_amount
q002,demo-ecommerce.demo_ecommerce.products.product_id
q002,demo-ecommerce.demo_ecommerce.products.category
q002,demo-ecommerce.demo_ecommerce.order_items.product_id
q002,demo-ecommerce.demo_ecommerce.order_items.order_id
q003,demo-ecommerce.demo_ecommerce.orders.order_date
q003,demo-ecommerce.demo_ecommerce.orders.total_amount
q004,demo-ecommerce.demo_ecommerce.products.product_id
q004,demo-ecommerce.demo_ecommerce.products.product_name
q004,demo-ecommerce.demo_ecommerce.order_items.product_id
q004,demo-ecommerce.demo_ecommerce.order_items.quantity